Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,QBV Maths,QB Serial Number,SET NUMBER,Roll Number,Group,Test No,Center No
 ,B,D, , , ,C,A,B,D,A,C, , , , , ,B,A, ,A,A, , ,C, ,C, , , , ,      ,1,1618109,MM,101,1618
B,C,C,B,C,D,C,D,B,A,A,A,A,A,A, , ,C,C,A, ,A,D,C,D,C,C,C,A,B, ,      ,1,1618108,MM,101,1618
A,B, , ,C,B,C, ,C,A,D,A, ,D, ,C, , ,D,C, ,A,C, ,D,A, ,C,A,D, ,      ,1,1618106,MM,101,1618
B,C, ,A,C,A,B, , ,A,A, , , , , , , , ,B, , , , ,D,D,D,C,C,A, ,      ,1,1618103,MM,101,1618
 ,C,D, , ,C,C,A,B,D,A,A,B,A,B, , ,B,A,C,A, , ,C, ,A,C,C,B,A, ,      ,1,1618102,MM,101,1618
A,B,D,A, , ,C,A, , ,A,A, ,A,B, , ,C,B,B,B,B,D,C, ,C,A,C, ,B, ,      ,1,1618107,MM,101,1618
C,C,C,A, ,D,A,B,B,A,B,A,C,C,B,D,D,B,D,C, , , , , , , , , , , ,      ,1,1618100,MM,101,1618
D,B,C, ,C,A, , , ,D,A,A, , , ,C,B,B, ,A,A,A,C,C,D,C,C,A,A,C, ,      ,1,1618099,MM,101,1618
C,B,D,D,D, ,C,A,B,A,A, , , ,C, , , , ,C, , ,A,C, ,A, ,C, ,D, ,      ,1,1618096,MM,101,1618
A,C,C, ,C,A, , ,B, ,A,A, , , , , , ,B,C, , ,B,C, , ,C,C,C,A, ,      ,1,1618095,MM,101,1618
D,B,C, , , , , , , , ,A, , , , , , , ,C,B,D, ,C,A,D, , , , , ,      ,1,1618094,MM,101,1618
 ,C,C, , , , , ,B,D,A,B, ,C, , , ,B, ,C, , , ,C, , ,C,C, , , ,      ,1,1618092,MM,101,1618
C,A,B,D,D,B,D,A,B,A,A,A,B,B,B,C,B,C,A,B,B,A,B,C,D,A,A,C,D,A, ,      ,1,1618091,MM,101,1618
A,C,B,D,D, ,C,A,B,D,A, ,B, , , ,C,C,A,B, , , ,C,D,C,C,C,B,B, ,      ,1,1618090,MM,101,1618
 ,B,D, , , ,C,A,C, , , , ,B, , , ,A, ,C, ,B,B,C, ,A, ,B, , , ,      ,1,1618088,MM,101,1618
 , , , ,C, ,B, , , ,A, , , , , , ,A,C,C,A, ,B,C,C, ,A,D,B,B, ,      ,1,1618087,MM,101,1618
B,C,C,B,B,A,B,C, ,B, ,C, , , , , , , , , , ,C,A,B, , , , , , ,      ,1,1618086,MM,101,1618
C,B, , ,D, ,C,B,B,A,A,C, ,D,B, ,B,C,B,C, , ,B,C,D, ,C,C,B,B, ,      ,1,1618084,MM,101,1618
A,B,C, , , ,C,A,A,A, , ,D,A, ,D,C, , , ,A, , ,C, ,A, ,C,B, , ,      ,1,1618083,MM,101,1618
C,B,D, ,D, ,C,A,B,A,A, , , , , , , , ,C,A, ,B,C, ,A, ,C, ,D, ,      ,1,1618082,MM,101,1618
A, ,B, , , , ,B, ,B, ,A, , , , , ,C, ,C,B, , ,C,C,D,A,B,B,B, ,      ,1,1618079,MM,101,1618
A,C,C, ,C, ,C, ,B, ,A,A, , , , , , ,B,C, , , ,C,C, ,C,C,C,A, ,      ,1,1618078,MM,101,1618
