Que_No,Que_Type,Answer_Key,Difficulti_Level,Correct_Marks,Wrong_Marks(-ve),Subject,Ref_Course,Ref_Subject,Chapter,Topic,SubTopic,Module,Question_Rule
1,Multiple Correct,C,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
2,Multiple Correct,ABD,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
3,Multiple Correct,A,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
4,Multiple Correct,C,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
5,Multiple Correct,AC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
6,Multiple Correct,ABC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
7,Multiple Correct,C,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
8,Multiple Correct,AC,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
9,Multiple Correct,ABCD,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
10,Multiple Correct,BC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
11,Matrix Match,R,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
12,Matrix Match,p,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
13,Matrix Match,S,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
14,Matrix Match,Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
15,Matrix Match,P:Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
16,Matrix Match,P:R,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
17,Matrix Match,P:R:S,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
18,Matrix Match,Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
19,Integer,5,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
20,Integer,1,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
21,Integer,6,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
22,Integer,29,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
23,Integer,7,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
24,Integer,6,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
25,Integer,7,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
26,Integer,1,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
27,Multiple Correct,ABD,High,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
28,Multiple Correct,BC,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
29,Multiple Correct,BD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
30,Multiple Correct,C,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
31,Multiple Correct,ABD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
32,Multiple Correct,ACD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
33,Multiple Correct,BC,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
34,Multiple Correct,ABC,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
35,Multiple Correct,BD,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
36,Multiple Correct,ABD,High,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
37,Matrix Match,Q:R:S:T,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
38,Matrix Match,Q:R:S:T,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
39,Matrix Match,Q,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
40,Matrix Match,P:Q:S,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
