Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,QBV Maths,QB Serial Number,SET NUMBER,Roll Number,Group,Test No,Center No
A,A,B,B, ,A,D, ,A, ,C,C,A,C,C, ,A, ,C,D,A,C, ,D, , , , , ,A,,,1,1,BO,101,E007
A, , ,B, ,A,D,B,B, ,D,A,A,C,B, ,A,D, ,D, , ,A, ,B, ,C,C,B,A,,,1,2,BO,101,E007
A,A, ,B,D,A,D,D,A,C,D,C,A,C,C,B,B,D,A,D,C,C,A,C,B, ,A,C, ,A,,,1,3,BO,101,E007
A,A,D,B,C,B,D,B,A,C,C,B,A,B,C,C,B,A,A,D,A,C,A,A,B,B,B,C,B,B,,,1,4,BO,101,E007
A,B, ,B,A,A, ,A,A,A,D,A,A,C,C,C,D,D,C,D,B, ,A, ,A,B,A, , ,A,,,1,5,BO,101,E007
A,A, ,B, ,A,D,B,B,C,A,A,A, ,A,B,B,A,A,D,A,C,A,D,B, ,A, , ,A,,,1,6,BO,101,E007
A,D,B,B, , , ,A,A,A,B, ,B,C,C,B,A,B,A,D, , ,B, ,C, , , , ,A,,,1,7,BO,101,E007
A,A,D,B,A,A,D,B,A,C,D,C, ,C, ,C,A,A,C,D,A,B,A, ,B, ,A,C, ,A,,,1,8,BO,101,E007
A,D,D,B,D,A,D,B,A,A,C,C,A,C,C,B,B,D,A,D,A,C,A, ,B, ,A,C, ,A,,,1,9,BO,101,E007
A,D,B,B,A,A,D,D,A,C,D,A,B,C,A,B,A,D,C,D,A,C,A,C,B,B,A,C,A,D,,,1,10,BO,101,E007
A,D,B,B, ,A,D,B,A,A,C,C,A,B,A,B,A,D,C,D, , ,A, ,B, ,A,C, ,A,,,1,11,BO,101,E007
A,D, ,B, ,A,D,B,A, ,C,C,A,C,A,B,A,D,C,D,A, ,A, ,B, ,A,C, ,A,,,1,12,BO,101,E007
