Que_No,Que_Type,Answer_Key,Difficulti_Level,Correct_Marks,Wrong_Marks(-ve),Subject,Ref_Course,Ref_Subject,Chapter,Topic,SubTopic,Module
1,Single Correct,D,Easy,4,1,Physics,XI-MAIN & ADVANCED,Physics,Center_of_Mass_and_Collisions,Center_of_Mass,Center_Of_Mass_Of_Discreet_Particle_System,01._Introduction_Of_COM_Part_I
2,Single Correct,C,Easy,4,1,Physics,,,,,,
3,Single Correct,C,Easy,4,1,Physics,XII-MAIN & ADVANCED,Physics,Alternating_Current,D.C._and_A.C_Curr,Types_Of_Current_And_Their_Generation,1
4,Single Correct,C,Easy,4,1,Physics,XI-MAIN & ADVANCED,Physics,Center_of_Mass_and_Collisions,Center_of_Mass,Center_Of_Mass_Of_Discreet_Particle_System,01._Introduction_Of_COM_Part_I
5,Single Correct,B,Easy,4,1,Physics,,,,,,
6,Single Correct,C,Easy,4,1,Physics,,,,,,
7,Single Correct,D,Easy,4,1,Physics,,,,,,
8,Single Correct,C,Easy,4,1,Physics,,,,,,
9,Single Correct,D,Easy,4,1,Physics,,,,,,
10,Single Correct,D,Easy,4,1,Physics,,,,,,
11,Single Correct,B,Easy,4,1,Physics,,,,,,
12,Single Correct,Z,Easy,4,1,Physics,,,,,,
13,Single Correct,A,Easy,4,1,Physics,,,,,,
14,Single Correct,C,Easy,4,1,Physics,,,,,,
15,Single Correct,A,Easy,4,1,Physics,,,,,,
16,Single Correct,B,Easy,4,1,Physics,,,,,,
17,Single Correct,D,Easy,4,1,Physics,,,,,,
18,Single Correct,B,Easy,4,1,Physics,,,,,,
19,Single Correct,B,Easy,4,1,Physics,,,,,,
20,Single Correct,C,Easy,4,1,Physics,,,,,,
21,Single Correct,A,Easy,4,1,Physics,,,,,,
22,Single Correct,A,Easy,4,1,Physics,,,,,,
23,Single Correct,D,Easy,4,1,Physics,,,,,,
24,Single Correct,C,Easy,4,1,Physics,,,,,,
25,Single Correct,D,Easy,4,1,Physics,,,,,,
26,Single Correct,A,Easy,4,1,Physics,,,,,,
27,Single Correct,C,Easy,4,1,Physics,,,,,,
28,Single Correct,A,Easy,4,1,Physics,,,,,,
29,Single Correct,A,Easy,4,1,Physics,,,,,,
30,Single Correct,A,Easy,4,1,Physics,,,,,,
31,Single Correct,B,Easy,4,1,Chemistry,,,,,,
32,Single Correct,A,Easy,4,1,Chemistry,,,,,,
33,Single Correct,C,Easy,4,1,Chemistry,,,,,,
34,Single Correct,C,Easy,4,1,Chemistry,,,,,,
35,Single Correct,B,Easy,4,1,Chemistry,,,,,,
36,Single Correct,B,Easy,4,1,Chemistry,,,,,,
37,Single Correct,B,Easy,4,1,Chemistry,,,,,,
38,Single Correct,C,Easy,4,1,Chemistry,,,,,,
39,Single Correct,C,Easy,4,1,Chemistry,,,,,,
40,Single Correct,C,Easy,4,1,Chemistry,,,,,,
41,Single Correct,D,Easy,4,1,Chemistry,,,,,,
42,Single Correct,D,Easy,4,1,Chemistry,,,,,,
43,Single Correct,C,Easy,4,1,Chemistry,,,,,,
44,Single Correct,B,Easy,4,1,Chemistry,,,,,,
45,Single Correct,A,Easy,4,1,Chemistry,,,,,,
46,Single Correct,C,Easy,4,1,Chemistry,,,,,,
47,Single Correct,A,Easy,4,1,Chemistry,,,,,,
48,Single Correct,C,Easy,4,1,Chemistry,,,,,,
49,Single Correct,B,Easy,4,1,Chemistry,,,,,,
50,Single Correct,D,Easy,4,1,Chemistry,,,,,,
51,Single Correct,D,Easy,4,1,Chemistry,,,,,,
52,Single Correct,C,Easy,4,1,Chemistry,,,,,,
53,Single Correct,B,Easy,4,1,Chemistry,,,,,,
54,Single Correct,C,Easy,4,1,Chemistry,,,,,,
55,Single Correct,B,Easy,4,1,Chemistry,,,,,,
56,Single Correct,B,Easy,4,1,Chemistry,,,,,,
57,Single Correct,B,Easy,4,1,Chemistry,,,,,,
58,Single Correct,A,Easy,4,1,Chemistry,,,,,,
59,Single Correct,B,Easy,4,1,Chemistry,,,,,,
60,Single Correct,A,Easy,4,1,Chemistry,,,,,,
61,Single Correct,D,Easy,4,1,Maths,,,,,,
62,Single Correct,C,Easy,4,1,Maths,,,,,,
