NCS Header,Roll no,Center no,Test Code,SET No,Batch,PHY_Q1,PHY_Q2,PHY_Q3,PHY_Q4,PHY_Q5,PHY_Q6,PHY_Q7,PHY_Q8,PHY_Q9,PHY_Q10,PHY_Q11,PHY_Q12,PHY1,PHY2,PHY3,PHY4,PHY5,PHY6,PHY7,PHY8,CHE_Q1,CHE_Q2,CHE_Q3,CHE_Q4,CHE_Q5,CHE_Q6,CHE_Q7,CHE_Q8,CHE_Q9,CHE_Q10,CHE_Q11,CHE_Q12,CHE1,CHE2,CHE3,CHE4,CHE5,CHE6,CHE7,CHE8,MAT_Q1,MAT_Q2,MAT_Q3,MAT_Q4,MAT_Q5,MAT_Q6,MAT_Q7,MAT_Q8,MAT_Q9,MAT_Q10,MAT_Q11,MAT_Q12,MAT1,MAT2,MAT3,MAT4,MAT5,MAT6,MAT7,MAT8
Borivali,1812132,T002,1051461,1,,                ,,,ABD,,ABCD,,,,,,,2,3,6,5,4,1,4,2,D,ACD,BD,BD,,AD,BD,ACD,,B,B,C,2,5,5,3,1,8,3,7,,,A,,,D,,,A,,,,4,3,7,3,4,7,3,2
Borivali,1812096,T002,1051461,1,,,,,,,,,,,,,,5,4,2,3,8,3,7,8,A,BCD,BD,,AD,AC,,,,,A,B,2,5,3,3,1,8,4,6,,,,,,,,,,,,,6,3,7,6,2,3,4,3
Borivali,1812039,T002,1051461,1,,,,,,,,,,ABC,,C,A,7,4,4,4,4,4,4,4,,ACD,,,,,,,ABC,,C,B,3,3,7,1,4,7,3,3,,,,,,,,,,,C,D,6,6,6,6,6,6,6,7
Borivali,1812194,T002,1051461,1,,,,,ABC,,,ABCD,ABCD,,,,,3,4,3,2,5,6,3,4,,,,,,,ACD,ABCD,AD,,,,4,000*,3,0,1,6,2,5,,AD,,,C,,,,,,,,1,1,1,2,2,2,7,3
Borivali,1812193,T002,1051461,1,,,,,ABC,,,ABCD,ABCD,,,B,,3,5,4,2,5,2,7,3,A,AD,,,,,ABD,,,,,,2,5,5,0,5,6,2,5,A,A,,,,,,,ACD,,,,8,1,7,6,8,2,9,4
Ghatkopar,1815023,T009,1051461,1,,BD,,,,BC,,ABC,,,,B,A,,,,,,,,3,,ABCD,,,,BD,,,,AD,C,B,0,,,,,,,,ABC,,CD,,BC,,,,,BD,C,A,3,,7,,,,,2
Ghatkopar,1815021,T009,1051461,1,,BD,ABCD,,ABC,ABD,,BCD,,ABD,,B,A,2,1,5,,6,2,2,2,A,ACD,,,,BD,ABD,,,BCD,C,,,5,8,,3,2,2,,,,,,,,,,,,,,6,0,5,,2,2,2,4
Ghatkopar,1815027,T009,1051461,1,,BD,,,,ABD,,ACD,ABC,C,CD,A,A,,,,,,2,,,A,A,,,,B,ABCD,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Ghatkopar,1815026,T009,1051461,1,,BD,,,ABC,AD,,ACD,AB,ABD,,,,,3,,,,1,2,,,,,,A,C,AB,,ACD,,,,,6,3,1,2,001*,,,,A,AC,A,,,,,,,,,,1,7,2,0,,1,2
Ghatkopar,1815012,T009,1051461,1,,ABC,A,BCD,,ABD,ABD,ABCD,,A,BCD,A,A,8,6,2,3,8,3,4,4,A,BCD,BC,ABC,,BD,,ACD,ABCD,,C,D,7,5,5,3,7,9,000*,7,,,,,,,,,C,,C,A,5,2,0,3,9,4,6,2
Ghatkopar,1815007,T009,1051461,1,,,ABCD,,ABC,ABC,CD,ABCD,ABC,ABD,BCD,B,A,2,1,4,4,6,1,2,,A,ACD,,ACD,,BD,ABD,,,BCD,C,D,2,6,6,3,3,2,,7,A,,,,AC,,,,,,C,C,1,2,3,4,5,6,7,8
Ghatkopar,1815015,T009,1051461,1,,BD,ACD,,,ABD,CD,ABCD,ABC,ABD,BCD,B,A,4,5,4,2,2,2,6,2,A,A,ABC,AB,ABC,B,AB,,,,B,A,4,3,,3,4,6,6,4,,AC,,,,AD,ABCD,ABC,,BD,B,C,2,2,6,2,2,2,6,4
Ghatkopar,1815003,T009,1051461,1,,C,ABC,,ABC,ABD,,,ABCD,ABCD,BCD,,,2,2,2,2,2,2,2,2,,ACD,,,,,BC,,,,,,2,4,3,3,3,2,2,8,,A,,,C,,,,,,,,2,2,7,1,2,2,2,2
Ghatkopar,1815005,T009,1051461,1,,AD,AB,,A,ABD,,ABCD,ABCD,ABD,BCD,B,A,9,2,2,2,8,2,2,2,A,AD,AB,ABCD,ABC,AD,ABCD,,,BC,B,B,2,2,3,3,3,8,2,6,ABD,A,,AC,AC,,,ABC,ABD,AD,B,C,2,0,2,2,2,2,2,2
Ghatkopar,1815016,T009,1051461,1,,ABD,BCD,AD,ABD,,,AD,,,,B,A,2,,2,2,2,2,2,2,D,ACD,BD,,,,ACD,,,,C,B,2,2,2,2,2,2,2,2,,,,,D,,,,,,,B,2,2,2,2,2,2,2,2
Ghatkopar,1815022,T009,1051461,1,,,,,,ABD,,,,,,,,2,4,2,1,2,1,2,2,,,,,,,,,,,,,2,5,7,3,2,8,1,3,,,,,,,,,,,,,6,1,0,3,1,1,6,1
Ghatkopar,1815004,T009,1051461,1,,BD,,ABC,ABC,ABD,,BD,,ABD,BCD,B,A,2,3,4,5,6,2,8,3,A,ABD,,ABCD,,D,ABCD,ABCD,,BCD,D,D,6,6,4,2,3,3,2,4,ABD,A,,,,,,,,,B,C,6,0,5,6,2,2,2,4
Ghatkopar,1815002,T009,1051461,1,,AC,AD,,BC,B,BCD,ABCD,ABC,ABC,BCD,B,A,2,1,4,,,,,,A,D,AB,,B,B,ABC,CD,AD,ABC,C,D,3,5,4,3,3,,,7,A,,,C,C,D,ABCD,ABC,BD,B,D,A,,1,,,,,,
Ghatkopar,1815019,T009,1051461,1,,AD,,,,ABD,,AC,ABCD,AC,BCD,B,A,9,2,2,2,8,2,2,2,D,AD,AB,,,B,ABCD,,ABCD,C,,C,2,2,2,2,3,8,2,4,,,,,,,,,,,,,,2,2,2,2,2,2,2
Ghatkopar,1815010,T009,1051461,1,,,,,BC,A,,ABCD,ABC,ABD,,B,A,8,2,4,3,5,5,6,2,D,,,ABC,,B,ACD,ABCD,ABCD,BD,A,B,2,9,8,3,4,6,2,6,,,,,,,,,,,,C,1,3,7,2,0,4,5,0
Ghatkopar,1815020,T009,1051461,1,,C,ABC,,AC,,,,,,BCD,D,B,,,,,,,,,,ACD,,ABCD,,,,,,BD,B,C,,,,,,,,,,D,,,B,,,,,C,D,B,,,,,,,,
Ghatkopar,1815001,T009,1051461,1,,D,AD,ABC,,ABC,ACD,ABCD,ABCD,ABD,BCD,B,A,0,5,6,2,2,6,2,4,A,,,,,ACD,ABCD,,,B,AC,B,2,8,8,3,3,6,2,7,A,A,,,AC,,,,D,,D,C,,2,7,4,0,2,2,8
Ghatkopar,1815018,T009,1051461,1,,,,ABD,,,,ACD,ACD,,,B,A,3,3,4,2,2,2,0,4,A,,ABCD,,,BD,BC,,,,A,B,2,6,4,3,3,2,2,7,,,,,,,,,,,C,B,2,2,3,3,2,0,1,2
Ghatkopar,1815006,T009,1051461,1,,BD,,,ABC,ABD,,ABCD,ABC,ABC,BCD,B,A,1,,4,0,9,3,,3,A,ABCD,AB,ACD,,BD,ABCD,ABCD,,BD,A,D,3,1,4,2,4,6,,3,,ABC,,,,,,ABC,ABD,,B,A,,2,0,3,,,6,3
Ghatkopar,1815009,T009,1051461,1,,,AB,,,ABD,,AC,ABCD,,,A,A,9,2,2,2,8,2,2,2,D,,AB,,AB,ACD,,,ABCD,,A,C,2,2,3,2,3,8,2,4,,A,,D,,,,,C,,B,,,3,7,6,5,,3,4
Mulund,1818024,T012,1051461,1,,,,,,A,,,AD,AD,,,,,,,,,,,,A,ACD,,,,,AD,,,,,,,5,,,,1,,6,,,,,,,,,,,,,,,,,,,,
Mulund,1818014,T012,1051461,1,,,,,,AB,,,,,CD,D,A,,,,,,,,,B,ABC,,,,,ABD,,,,D,B,,,,,,,,,,,,,,,,,,,C,B,,,,,,,,
Mulund,1818003,T012,1051461,1,,,AD,,,A,,,,,B,C,D,,,6,,,2,5,,,,BD,,A,,,,AD,ABCD,B,C,3,4,2,3,0,,,,B,,,C,B,,,,,D,D,B,,4,7,,,,,5
Mulund,1818043,T012,1051461,1,,D,ACD,,,B,,BD,ABC,ABD,BCD,B,A,8,9,4,7,6,2,4,1,D,ACD,,D,C,B,ABD,,AD,,C,B,2,5,6,2,5,2,3,3,,AC,ACD,AC,,,,C,,BD,A,B,3,1,7,6,9,4,6,2
Mulund,1818007,T012,1051461,1,,BC,,,,ABC,BC,ABCD,,ABD,BCD,B,A,8,3,7,6,3,5,2,0,,AC,,,,,AD,,,B,C,B,7,3,5,6,7,9,8,3,,,,ABC,C,,,,ABCD,B,B,,5,6,7,5,6,7,8,3
Mulund,1818019,T012,1051461,1,,AD,,,,,,,,,,,,2,8,,2,2,1,5,0,ABD,,,,ACD,,,,,,,,0,,2,3,2,000*,2,2,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Mulund,1823065,T012,1051461,1,,,,,,ABD,,,,,,A,A,2,2,2,2,2,2,2,2,A,ABCD,AB,,,,ACD,,ABD,BD,C,A,2,2,4,2,2,6,2,6,,A,,BC,AC,,BCD,,,BD,C,A,2,2,7,2,2,2,6,2
Mulund,1818002,T012,1051461,1,,BD,ACD,AC,AC,,,,,,,D,A,5,3,2,4,4,2,2,4,,,,,,,,,,,A,B,1,3,6,3,1,2,1,5,,,,,,,,,,,D,A,3,6,4,6,4,5,6,2
Mulund,1818011,T012,1051461,1,,,BCD,,,,,,,,ABCD,C,A,5,5,5,6,6,5,4,6,,,,,,,,,,,,,5,5,5,5,5,5,,5,,,,,,,,,,,,,5,5,5,5,5,5,0,5
Mulund,1818020,T012,1051461,1,,ABC,ABCD,,,,,,,,,A,D,,3,,,,,,2,,,,,,,AC,,ACD,D,A,D,,,4,,1,6,,6,,,,,AC,,,,B,,B,A,3,,,,,,,4
Mulund,1818009,T012,1051461,1,,BD,,ACD,AC,,,ABCD,,ABD,,B,D,8,2,2,,8,2,5,2,,ABCD,ABC,BD,,BD,B,ABCD,,,C,C,0,,4,2,2,1,2,6,,AC,ACD,D,,AD,,,,,C,A,,,,,0,,6,2
Mulund,1818001,T012,1051461,1,,,,,B,ABC,,,,,,B,C,2,2,2,2,2,2,2,2,D,,,,AB,C,BD,ABCD,ACD,B,A,B,1,6,5,4,4,8,1,4,,A,,B,,,,,,,A,B,1,1,0,6,1,4,1,2
Mulund,1818026,T012,1051461,1,,,,,,ABC,,ABCD,,,,D,A,2,2,2,2,2,2,2,2,A,,ABC,,,,ABCD,,,,C,B,1,6,8,3,3,0,2,6,,A,,,B,,,,,A,A,A,2,2,0,2,2,2,2,2
Mulund,1818040,T012,1051461,1,,C,AC,,,,,ABCD,,ABD,CD,D,D,2,2,2,7,,,,,A,,ABC,,,,ACD,,,C,C,B,1,6,8,3,3,0,2,6,,A,,ABC,C,,,,,A,A,A,2,0,0,,,,,
Mulund,1818010,T012,1051461,1,,AD,ABCD,BCD,,,,,ABCD,ABC,,B,B,2,8,2,3,,1,,,A,BD,,,BD,AD,ABD,AD,,,D,,0,6,1,,4,4,2,6,AC,B,,ABC,ABC,,,,,AD,B,,,0,7,,,,,
Mulund,1818033,T012,1051461,1,,BD,ACD,AC,AC,,,,,,,D,A,5,,2,0,4,2,3,4,,BCD,,AC,BD,,ABCD,,ABC,,C,C,3,7,6,3,7,8,1,7,,A,,BC,,,,BC,ABC,BD,B,B,5,6,0,3,2,5,000*,2
Mulund,1818035,T012,1051461,1,,,AC,BC,ABC,A,D,,ABC,ABC,,A,A,5,2,2,5,2,1,5,4,,AD,ABC,ABC,,CD,ACD,ABCD,,ABCD,A,B,2,00 6,5,4,4,2,2,7,C,,,,,,,,,,B,C,5,2,2,3,1,2,2,2
Mulund,1818016,T012,1051461,1,,,,,,ABD,,,,,,B,A,3,3,4,3,7,3,2,2,A,,,,AC,AC,B,,ACD,,C,C,2,7,4,4,2,9,4,5,,,,C,,,,,,BD,,,2,3,7,4,2,4,3,0
Mulund,1818005,T012,1051461,1,,,,,,,,BCD,,,,,A,,,,,,,,,A,,,,,B,BCD,,,,A,A,,5,5,,5,4,,5,A,,AD,,,,,,,,B,,,,,,,,,
